timestamp,emotion,emotion_score,focus_score,final_engagement
21:31:51,neutral,70,64,67
21:31:51,neutral,70,60,65
21:31:52,neutral,70,59,64
21:31:52,neutral,70,59,64
21:31:52,neutral,70,59,64
21:31:52,neutral,70,60,65
21:31:52,neutral,70,61,65
21:31:52,neutral,70,61,65
21:31:52,neutral,70,61,65
21:31:52,neutral,70,61,65
21:31:52,neutral,70,63,66
21:31:52,neutral,70,64,67
21:31:52,neutral,70,66,68
21:31:52,neutral,70,66,68
21:31:53,neutral,70,68,69
21:31:53,neutral,70,68,69
21:31:53,neutral,70,70,70
21:31:53,neutral,70,71,70
21:31:53,neutral,70,71,70
21:31:53,angry,30,73,51
21:31:53,neutral,70,74,72
21:31:53,happy,100,73,86
21:31:53,happy,100,74,87
21:31:53,happy,100,73,86
21:31:53,happy,100,73,86
21:31:54,happy,100,74,87
21:31:54,happy,100,75,87
21:31:54,happy,100,75,87
21:31:54,happy,100,76,88
21:31:54,happy,100,76,88
21:31:54,happy,100,76,88
21:31:54,happy,100,76,88
21:31:54,happy,100,75,87
21:31:54,happy,100,75,87
21:31:54,happy,100,76,88
21:31:54,happy,100,76,88
21:31:54,happy,100,75,87
21:31:55,happy,100,74,87
21:31:55,happy,100,73,86
21:31:55,happy,100,73,86
21:31:55,sad,40,72,56
21:31:55,happy,100,71,85
21:31:55,happy,100,72,86
21:31:55,happy,100,72,86
21:31:55,happy,100,72,86
21:31:55,happy,100,71,85
21:31:55,happy,100,70,85
21:31:55,happy,100,70,85
21:31:56,happy,100,70,85
21:31:56,happy,100,70,85
21:31:56,happy,100,70,85
21:31:56,happy,100,69,84
21:31:56,happy,100,67,83
21:31:56,happy,100,68,84
21:31:56,neutral,70,67,68
21:31:56,happy,100,64,82
21:31:56,happy,100,65,82
21:31:56,surprise,85,62,73
21:31:56,surprise,85,62,73
21:31:56,surprise,85,61,73
21:31:57,surprise,85,62,73
21:31:57,neutral,70,63,66
21:31:57,neutral,70,64,67
21:31:57,happy,100,63,81
21:31:57,happy,100,63,81
21:31:57,happy,100,64,82
21:31:57,happy,100,64,82
21:31:57,neutral,70,64,67
21:31:57,neutral,70,64,67
21:31:57,neutral,70,67,68
21:31:57,neutral,70,78,74
21:31:57,neutral,70,78,74
21:31:58,neutral,70,82,76
21:31:58,neutral,70,82,76
21:31:58,neutral,70,83,76
21:31:58,neutral,70,83,76
21:31:58,neutral,70,81,75
21:31:58,neutral,70,80,75
21:31:58,neutral,70,76,73
21:31:58,neutral,70,76,73
21:31:58,neutral,70,75,72
21:31:58,neutral,70,75,72
21:31:58,neutral,70,73,71
21:31:58,neutral,70,73,71
21:31:58,neutral,70,73,71
21:31:59,neutral,70,73,71
21:31:59,happy,100,72,86
21:31:59,happy,100,72,86
21:31:59,neutral,70,71,70
21:31:59,neutral,70,69,69
21:31:59,neutral,70,70,70
21:31:59,neutral,70,69,69
21:31:59,neutral,70,69,69
21:31:59,neutral,70,67,68
21:31:59,neutral,70,65,67
21:31:59,neutral,70,64,67
21:32:00,neutral,70,64,67
21:32:00,neutral,70,64,67
21:32:00,neutral,70,63,66
21:32:00,neutral,70,63,66
21:32:00,neutral,70,63,66
21:32:00,neutral,70,63,66
21:32:00,neutral,70,63,66
21:32:00,neutral,70,64,67
21:32:00,neutral,70,65,67
21:32:00,neutral,70,64,67
21:32:00,neutral,70,64,67
21:32:00,neutral,70,62,66
21:32:01,neutral,70,60,65
21:32:01,neutral,70,60,65
21:32:01,neutral,70,57,63
21:32:01,sad,40,46,43
21:32:01,sad,40,45,42
21:32:01,neutral,70,40,55
21:32:01,neutral,70,41,55
21:32:01,fear,25,38,31
21:32:01,fear,25,39,32
21:32:01,happy,100,42,71
21:32:01,happy,100,46,73
21:32:01,happy,100,46,73
21:32:01,happy,100,50,75
21:32:02,fear,25,50,37
21:32:02,fear,25,50,37
21:32:02,fear,25,51,38
21:32:02,surprise,85,53,69
21:32:02,fear,25,55,40
21:32:02,fear,25,55,40
21:32:02,fear,25,54,39
21:32:02,surprise,85,55,70
21:32:02,surprise,85,55,70
21:32:02,surprise,85,57,71
21:32:02,fear,25,55,40
21:32:02,fear,25,55,40
21:32:02,fear,25,54,39
21:32:02,fear,25,54,39
21:32:03,fear,25,54,39
21:32:03,fear,25,53,39
21:32:03,sad,40,54,47
21:32:03,sad,40,54,47
21:32:03,neutral,70,62,66
21:32:03,neutral,70,61,65
21:32:03,sad,40,73,56
21:32:03,sad,40,73,56
21:32:03,neutral,70,80,75
21:32:03,fear,25,86,55
21:32:03,sad,40,87,63
21:32:03,sad,40,87,63
21:32:04,sad,40,88,64
21:32:04,sad,40,88,64
21:32:04,sad,40,89,64
21:32:04,sad,40,88,64
21:32:04,sad,40,88,64
21:32:04,neutral,70,85,77
21:32:04,neutral,70,81,75
21:32:04,neutral,70,81,75
21:32:04,neutral,70,79,74
21:32:04,neutral,70,79,74
21:32:04,neutral,70,79,74
21:32:04,neutral,70,82,76
21:32:05,neutral,70,82,76
21:32:05,neutral,70,83,76
21:32:05,neutral,70,84,77
21:32:05,neutral,70,84,77
21:32:05,angry,30,82,56
21:32:05,angry,30,82,56
21:32:05,angry,30,79,54
21:32:05,fear,25,68,46
21:32:05,fear,25,68,46
21:32:05,fear,25,69,47
21:32:05,neutral,70,63,66
21:32:05,neutral,70,63,66
21:32:05,neutral,70,64,67
21:32:06,neutral,70,64,67
21:32:06,neutral,70,65,67
21:32:06,neutral,70,64,67
21:32:06,neutral,70,66,68
21:32:06,neutral,70,67,68
21:32:06,neutral,70,67,68
21:32:06,neutral,70,68,69
21:32:06,neutral,70,68,69
21:32:06,neutral,70,67,68
21:32:06,neutral,70,65,67
21:32:06,neutral,70,66,68
21:32:06,neutral,70,65,67
21:32:07,neutral,70,65,67
21:32:07,neutral,70,64,67
21:32:07,neutral,70,64,67
21:32:07,neutral,70,65,67
21:32:07,neutral,70,65,67
21:32:07,neutral,70,65,67
21:32:07,neutral,70,65,67
21:32:07,neutral,70,66,68
21:32:07,neutral,70,66,68
21:32:07,neutral,70,67,68
21:32:07,neutral,70,67,68
21:32:08,neutral,70,66,68
21:32:08,neutral,70,66,68
21:32:08,neutral,70,65,67
21:32:08,neutral,70,65,67
21:32:08,neutral,70,65,67
21:32:08,neutral,70,64,67
21:32:08,neutral,70,64,67
21:32:08,neutral,70,64,67
21:32:08,neutral,70,64,67
21:32:08,neutral,70,64,67
21:32:08,neutral,70,64,67
21:32:08,neutral,70,64,67
21:32:08,neutral,70,64,67
21:32:09,neutral,70,64,67
21:32:09,neutral,70,64,67
21:32:09,neutral,70,64,67
21:32:09,neutral,70,64,67
21:32:09,neutral,70,64,67
21:32:09,neutral,70,64,67
21:32:09,neutral,70,64,67
21:32:09,neutral,70,64,67
21:32:09,neutral,70,63,66
21:32:09,neutral,70,63,66
21:32:09,neutral,70,63,66
21:32:10,neutral,70,63,66
21:32:10,neutral,70,63,66
21:32:10,neutral,70,63,66
21:32:10,neutral,70,63,66
21:32:10,neutral,70,63,66
21:32:10,neutral,70,63,66
21:32:10,neutral,70,63,66
21:32:10,neutral,70,63,66
21:32:10,neutral,70,63,66
21:32:10,neutral,70,63,66
21:32:10,neutral,70,63,66
21:32:10,neutral,70,63,66
21:32:11,neutral,70,63,66
21:32:11,neutral,70,62,66
21:32:11,neutral,70,62,66
21:32:11,neutral,70,62,66
21:32:11,neutral,70,62,66
21:32:11,neutral,70,62,66
21:32:11,neutral,70,62,66
21:32:11,neutral,70,62,66
21:32:11,neutral,70,62,66
21:32:11,neutral,70,62,66
21:32:11,neutral,70,62,66
21:32:11,neutral,70,62,66
21:32:12,neutral,70,62,66
21:32:12,neutral,70,62,66
21:32:12,angry,30,62,46
21:32:12,angry,30,62,46
21:32:12,happy,100,62,81
21:32:12,happy,100,63,81
21:32:12,happy,100,64,82
21:32:12,happy,100,64,82
21:32:12,happy,100,64,82
21:32:12,happy,100,64,82
21:32:12,happy,100,65,82
21:32:12,happy,100,64,82
21:32:13,happy,100,64,82
21:32:13,happy,100,65,82
21:32:13,happy,100,65,82
21:32:13,happy,100,65,82
21:32:13,happy,100,64,82
21:32:13,happy,100,64,82
21:32:13,happy,100,64,82
21:32:13,happy,100,64,82
21:32:13,happy,100,64,82
21:32:13,happy,100,64,82
21:32:13,happy,100,64,82
21:32:13,happy,100,64,82
21:32:13,happy,100,64,82
21:32:14,happy,100,65,82
21:32:14,happy,100,65,82
21:32:14,happy,100,65,82
21:32:14,happy,100,67,83
21:32:14,happy,100,68,84
21:32:14,happy,100,68,84
21:32:14,happy,100,68,84
21:32:14,happy,100,69,84
21:32:14,happy,100,70,85
21:32:14,happy,100,70,85
21:32:14,happy,100,71,85
21:32:14,happy,100,71,85
21:32:15,happy,100,71,85
21:32:15,happy,100,71,85
21:32:15,happy,100,71,85
21:32:15,happy,100,71,85
21:32:15,happy,100,71,85
21:32:15,happy,100,71,85
21:32:15,neutral,70,71,70
21:32:15,neutral,70,70,70
21:32:15,neutral,70,70,70
21:32:15,happy,100,69,84
21:32:15,happy,100,69,84
21:32:15,happy,100,67,83
21:32:16,sad,40,66,53
21:32:16,sad,40,66,53
21:32:16,sad,40,70,55
21:32:16,happy,100,73,86
21:32:16,happy,100,73,86
21:32:16,happy,100,70,85
21:32:16,happy,100,70,85
21:32:16,happy,100,67,83
21:32:16,happy,100,68,84
21:32:16,sad,40,63,51
21:32:16,happy,100,62,81
21:32:16,happy,100,63,81
21:32:17,happy,100,63,81
21:32:17,happy,100,64,82
21:32:17,happy,100,65,82
21:32:17,happy,100,65,82
21:32:17,happy,100,65,82
